GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
0500000US41001,41001,"Baker County, Oregon",16134,16131,16108,16058,15990,16015,16012,15873,15951,16079,16006
0500000US41003,41003,"Benton County, Oregon",85579,85582,85574,86260,86675,86168,87221,88270,89743,91567,92101
0500000US41005,41005,"Clackamas County, Oregon",375992,375996,376790,379485,383021,387406,393453,399799,406794,412821,416075
0500000US41007,41007,"Clatsop County, Oregon",37039,37026,37086,37220,37408,37105,37440,37800,38686,39119,39764
0500000US41009,41009,"Columbia County, Oregon",49351,49353,49355,49402,49215,49265,49499,49656,50930,51795,52377
0500000US41011,41011,"Coos County, Oregon",63043,63054,63011,62775,62678,62380,62367,62654,63347,63781,64389
0500000US41013,41013,"Crook County, Oregon",20978,20978,20885,20636,20606,20700,20957,21459,22313,23091,23867
0500000US41015,41015,"Curry County, Oregon",22364,22365,22378,22486,22257,22225,22140,22296,22611,22676,22813
0500000US41017,41017,"Deschutes County, Oregon",157733,157730,157743,159639,161345,165294,169506,174244,180649,186807,191996
0500000US41019,41019,"Douglas County, Oregon",107667,107684,107634,107219,106918,106605,106702,107191,108154,109284,110283
0500000US41021,41021,"Gilliam County, Oregon",1871,1873,1882,1951,1952,1943,1930,1868,1857,1865,1894
0500000US41023,41023,"Grant County, Oregon",7445,7444,7464,7409,7325,7270,7190,7209,7169,7170,7176
0500000US41025,41025,"Harney County, Oregon",7422,7422,7400,7357,7247,7160,7127,7149,7247,7286,7329
0500000US41027,41027,"Hood River County, Oregon",22346,22346,22445,22442,22558,22594,22695,22955,23103,23476,23428
0500000US41029,41029,"Jackson County, Oregon",203206,203205,203343,204738,205860,207173,209226,211432,214353,216761,219564
0500000US41031,41031,"Jefferson County, Oregon",21720,21723,21660,21750,21831,21871,22208,22555,23061,23700,24192
0500000US41033,41033,"Josephine County, Oregon",82713,82718,82875,82690,82746,83119,83364,84508,85489,86653,87393
0500000US41035,41035,"Klamath County, Oregon",66380,66380,66318,66294,65900,65682,65277,65661,66168,66789,67653
0500000US41037,41037,"Lake County, Oregon",7895,7885,7874,7904,7786,7797,7823,7782,7843,7890,7879
0500000US41039,41039,"Lane County, Oregon",351715,351704,351923,354005,355081,355506,358076,362047,369061,375617,379611
0500000US41041,41041,"Lincoln County, Oregon",46034,46033,46000,45868,46162,46323,46348,47008,47839,48820,49388
0500000US41043,41043,"Linn County, Oregon",116672,116676,116887,118155,118273,118416,119063,120244,122730,124977,127335
0500000US41045,41045,"Malheur County, Oregon",31313,31316,31350,30968,30762,30653,30366,30237,30367,30460,30725
0500000US41047,41047,"Marion County, Oregon",315335,315343,315951,318049,319915,321575,324578,329287,335816,341217,346868
0500000US41049,41049,"Morrow County, Oregon",11173,11177,11211,11232,11235,11208,11110,11147,11229,11215,11372
0500000US41051,41051,"Multnomah County, Oregon",735334,735148,737291,749699,760235,766649,778604,790230,803741,808781,811880
0500000US41053,41053,"Polk County, Oregon",75403,75407,75545,75931,76223,76566,77691,78991,81468,83751,85234
0500000US41055,41055,"Sherman County, Oregon",1765,1766,1779,1750,1744,1725,1712,1689,1711,1741,1708
0500000US41057,41057,"Tillamook County, Oregon",25250,25254,25254,25406,25289,25345,25325,25567,26129,26574,26787
0500000US41059,41059,"Umatilla County, Oregon",75889,75885,76095,76798,77006,76891,76708,76498,76674,77096,77516
0500000US41061,41061,"Union County, Oregon",25748,25744,25732,25902,25798,25523,25633,25698,26064,26286,26461
0500000US41063,41063,"Wallowa County, Oregon",7008,7008,7012,6978,6801,6769,6778,6812,6912,7035,7081
0500000US41065,41065,"Wasco County, Oregon",25213,25211,25285,25217,25375,25328,25275,25455,25776,26321,26505
0500000US41067,41067,"Washington County, Oregon",529710,529860,531645,540963,548598,555405,562539,572872,584835,591164,597695
0500000US41069,41069,"Wheeler County, Oregon",1441,1439,1447,1416,1409,1378,1350,1326,1320,1355,1366
0500000US41071,41071,"Yamhill County, Oregon",99193,99209,99300,99676,99894,99876,100813,101449,104264,105572,107002
